,f,mi
342,s_sn_gt_4ktgood,1.751308980839195e-15
343,speechtgood,1.751308980839195e-15
344,static_normaltgood,1.751308980839195e-15
345,tymptgood,0.6703410773292791
346,viith_nerve_signstgood,1.751308980839195e-15
347,wave_V_delayedtgood,1.751308980839195e-15
348,waveform_ItoV_prolongedtgood,1.751308980839195e-15
349,indentifiertgood,0.27083384905902624
350,age_gt_60tvery_good,0.0
351,airtvery_good,0.029891800801239748
352,airBoneGaptvery_good,0.0
353,ar_ctvery_good,0.33567394932012967
354,ar_utvery_good,0.22504026110532874
355,bonetvery_good,0.09060828311630735
356,boneAbnormaltvery_good,0.15534808548620613
357,bsertvery_good,0.0
358,history_buzzingtvery_good,0.0
359,history_dizzinesstvery_good,0.0
360,history_fluctuatingtvery_good,0.0
361,history_fullnesstvery_good,0.0
362,history_hereditytvery_good,0.0
363,history_nauseatvery_good,0.0
364,history_noisetvery_good,0.4586928011865935
365,history_recruitmenttvery_good,0.0
366,history_ringingtvery_good,0.0
367,history_roaringtvery_good,0.0
368,history_vomitingtvery_good,0.0
369,late_wave_poortvery_good,0.0
370,m_at_2ktvery_good,0.0
371,m_cond_lt_1ktvery_good,0.0
372,m_gt_1ktvery_good,0.0
373,m_m_gt_2ktvery_good,0.0
374,m_m_sntvery_good,0.029891800801239748
375,m_m_sn_gt_1ktvery_good,0.0
376,m_m_sn_gt_2ktvery_good,0.029891800801239748
377,m_m_sn_gt_500tvery_good,0.0
378,m_p_sn_gt_2ktvery_good,0.0
379,m_s_gt_500tvery_good,0.0
380,m_s_sntvery_good,0.0
381,m_s_sn_gt_1ktvery_good,0.0
382,m_s_sn_gt_2ktvery_good,0.0
383,m_s_sn_gt_3ktvery_good,0.029891800801239748
384,m_s_sn_gt_4ktvery_good,0.0
385,m_sn_2_3ktvery_good,0.0
386,m_sn_gt_1ktvery_good,0.029891800801239748
387,m_sn_gt_2ktvery_good,0.04938013880577276
388,m_sn_gt_3ktvery_good,0.0
389,m_sn_gt_4ktvery_good,0.0
390,m_sn_gt_500tvery_good,0.0
391,m_sn_gt_6ktvery_good,0.0
392,m_sn_lt_1ktvery_good,0.0
393,m_sn_lt_2ktvery_good,0.0
394,m_sn_lt_3ktvery_good,0.0
395,middle_wave_poortvery_good,0.0
396,mod_gt_4ktvery_good,0.0
397,mod_mixedtvery_good,0.0
398,mod_s_mixedtvery_good,0.0
399,mod_s_sn_gt_500tvery_good,0.0
400,mod_sntvery_good,0.0
401,mod_sn_gt_1ktvery_good,0.0
402,mod_sn_gt_2ktvery_good,0.0
403,mod_sn_gt_3ktvery_good,0.0
404,mod_sn_gt_4ktvery_good,0.0
405,mod_sn_gt_500tvery_good,0.0
406,notch_4ktvery_good,0.4586928011865935
407,notch_at_4ktvery_good,0.0
408,o_ar_ctvery_good,0.4586928011865935
409,o_ar_utvery_good,0.22504026110532874
410,s_sn_gt_1ktvery_good,0.0
411,s_sn_gt_2ktvery_good,0.0
412,s_sn_gt_4ktvery_good,0.0
413,speechtvery_good,0.0
414,static_normaltvery_good,0.0
415,tymptvery_good,0.0
416,viith_nerve_signstvery_good,0.0
417,wave_V_delayedtvery_good,0.0
418,waveform_ItoV_prolongedtvery_good,0.0
419,indentifiertvery_good,0.22544500368378645
